Valeur		Code Binaire
-23		000000
-24		000001
-19		000010
-13		000011
-31		000100
-26		000101
-15		000110
-18		000111
-17		001000
-29		001001
-28		001010
-25		001011
-39		0011000
-38		0011001
-21		001101
-5		0011100
-6		0011101
-37		0011110
-35		0011111
-93		0100000000
-64		0100000001
-75		0100000010
-72		0100000011
-98		0100000100
-95		0100000101
-58		0100000110
-100		0100000111
-56		010000100
-55		010000101
-54		010000110
-52		010000111
-101		0100010000
-62		0100010001
-69		0100010010
-66		0100010011
-85		0100010100
-90		0100010101
-63		0100010110
-76		0100010111
-87		0100011000
-84		0100011001
-94		0100011010
-81		0100011011
-78		0100011100
-1		0100011101
-59		0100011110
-57		0100011111
-44		01001000
-43		01001001
-49		01001010
-45		01001011
-42		01001100
-41		01001101
-40		01001110
-4		01001111
4682		010100000000
13215		010100000001
21749		010100000010
30282		010100000011
38815		010100000100
47349		010100000101
55882		010100000110
64415		010100000111
72949		010100001000
81482		010100001001
90015		010100001010
98549		010100001011
6645		010100001100
15178		010100001101
23711		010100001110
32245		010100001111
40778		010100010000
49311		010100010001
57845		010100010010
66378		010100010011
74911		010100010100
83445		010100010101
91978		010100010110
100511		010100010111
8607		010100011000
17141		010100011001
25674		010100011010
34207		010100011011
42741		010100011100
51274		010100011101
59807		010100011110
68341		010100011111
76874		010100100000
85407		010100100001
93941		010100100010
102474		010100100011
10570		010100100100
19103		010100100101
27637		010100100110
36170		010100100111
44703		010100101000
53237		010100101001
61770		010100101010
70303		010100101011
78837		010100101100
87370		010100101101
95903		010100101110
104437		010100101111
12533		010100110000
21066		010100110001
29599		010100110010
38133		010100110011
46666		010100110100
55199		010100110101
63733		010100110110
72266		010100110111
80799		010100111000
89333		010100111001
97866		010100111010
106399		010100111011
14495		010100111100
23029		010100111101
31562		010100111110
40095		010100111111
48629		010101000000
57162		010101000001
65695		010101000010
74229		010101000011
82762		010101000100
91295		010101000101
99829		010101000110
108362		010101000111
16458		010101001000
24991		010101001001
33525		010101001010
42058		010101001011
50591		010101001100
59125		010101001101
67658		010101001110
76191		010101001111
84725		010101010000
93258		010101010001
101791		010101010010
110325		010101010011
18421		010101010100
26954		010101010101
35487		010101010110
44021		010101010111
52554		010101011000
61087		010101011001
69621		010101011010
78154		010101011011
86687		010101011100
95221		010101011101
103754		010101011110
112287		010101011111
-105		010101100000
-102		010101100001
20383		010101100010
28917		010101100011
37450		010101100100
45983		010101100101
54517		010101100110
63050		010101100111
71583		010101101000
80117		010101101001
88650		010101101010
97183		010101101011
105717		010101101100
-99		010101101101
114250		010101101110
22346		010101101111
30879		010101110000
39413		010101110001
47946		010101110010
56479		010101110011
65013		010101110100
73546		010101110101
82079		010101110110
90613		010101110111
99146		010101111000
107679		010101111001
116213		010101111010
-108		010101111011
-106		010101111100
24309		010101111101
32842		010101111110
41375		010101111111
49909		010110000000
58442		010110000001
66975		010110000010
75509		010110000011
84042		010110000100
92575		010110000101
101109		010110000110
109642		010110000111
118175		010110001000
-110		010110001001
26271		010110001010
34805		010110001011
43338		010110001100
51871		010110001101
60405		010110001110
68938		010110001111
77471		010110010000
86005		010110010001
94538		010110010010
103071		010110010011
111605		010110010100
120138		010110010101
-112		010110010110
-109		010110010111
-77		010110011000
-65		010110011001
-67		010110011010
-80		010110011011
-89		010110011100
-97		010110011101
-60		010110011110
-86		010110011111
-83		01011010000
-103		01011010001
-107		01011010010
-104		01011010011
-74		01011010100
-82		01011010101
-92		01011010110
-61		01011010111
-71		01011011000
-68		01011011001
-79		01011011010
-91		01011011011
-73		01011011100
-70		01011011101
-88		01011011110
-96		01011011111
-51		010111000
-53		010111001
-2		010111010
-50		010111011
-47		010111100
-48		010111101
-3		010111110
-46		010111111
-36		0110000
-7		0110001
-16		0110010
-27		0110011
-33		0110100
-10		0110101
-9		0110110
-20		0110111
-14		0111000
-32		0111001
-8		0111010
-12		0111011
-11		0111100
-22		0111101
-30		0111110
-34		0111111
0		1
